,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
68,Guatemala,712057,981,16509,8,652250,1929,43298,5,38603,895,3669867,198956,18445621,North America,26,1117,5,53,0,2347
69,Azerbaijan,703334,4680,8898,27,648512,2134,45924,,68382,865,6278899,610465,10285436,Asia,15,1156,2,455,3,4465
70,Sri Lanka,620732,2212,15621,26,581659,454,23452,,28795,725,6155804,285560,21556968,Asia,35,1380,4,103,1,1088
71,Paraguay,610207,2260,17653,48,538722,5532,53832,189,83903,2427,2428300,333891,7272728,South America,12,412,3,311,7,7402
72,Kuwait,583113,4294,2511,1,527904,5022,52698,91,133386,574,7142068,1633737,4371613,Asia,7,1741,1,982,0,12055
73,Dominican Republic,563657,1044,4329,4,554590,774,4738,123,51139,393,3003295,272482,11021998,North America,20,2546,4,95,0,430
74,Myanmar,538409,508,19310,,514223,147,4876,,9790,351,6546337,119038,54993617,Asia,102,2848,8,9,,89
75,Palestine,535720,6281,4912,15,475365,6856,55443,106,101251,928,3078533,581842,5291016,Asia,10,1077,2,1187,3,10479
76,Finland,534790,19898,2095,37,46000,,486695,37,96281,377,9571590,1723214,5554499,Europe,10,2651,1,3582,7,87622
77,Venezuela,496283,,5487,,474087,,16709,230,17532,194,3359014,118664,28306950,South America,57,5159,8,,,590
78,Moldova,468782,1511,10776,8,410233,3094,47773,110,116643,2681,2840789,706848,4018953,Europe,9,373,1,376,2,11887
79,Ethiopia,466677,138,7373,10,404319,3371,54985,197,3905,62,4397684,36796,119515928,Africa,256,16210,27,1,0,460
80,Latvia,453751,3646,4960,9,330746,,118045,72,244899,2677,6259259,3378250,1852811,Europe,4,374,0,1968,5,63711
81,Libya,452950,2832,6080,13,401674,2216,45196,136,64516,866,2286483,325673,7020788,Africa,16,1155,3,403,2,6437
82,Mongolia,449531,860,2127,3,313256,,134148,192,133680,633,4030048,1198441,3362742,Asia,7,1581,1,256,0,39892
83,Egypt,441923,2272,22993,57,374479,2147,44451,122,4192,218,3693367,35034,105421360,Africa,239,4585,29,22,0,422
84,Bahrain,428123,7042,1414,3,365757,6784,60952,20,238368,787,8993347,5007275,1796056,Asia,4,1270,0,3921,2,33937
85,Singapore,405629,7806,874,3,372384,12041,32371,12,68472,148,22779662,3845329,5923982,Asia,15,6778,0,1318,0,5464
